,id,name,custom,orderable,navigable,searchable,clauseNames,schema
50,reporter,Reporter,False,True,True,True,['reporter'],"{'type': 'user', 'system': 'reporter'}"
51,progress,Progress,False,False,True,False,['progress'],"{'type': 'progress', 'system': 'progress'}"
52,votes,Votes,False,False,True,False,['votes'],"{'type': 'votes', 'system': 'votes'}"
53,worklog,Log Work,False,True,False,True,[],"{'type': 'array', 'items': 'worklog', 'system': 'worklog'}"
54,archivedby,Archiver,False,True,False,True,[],"{'type': 'user', 'system': 'archivedby'}"
55,customfield_20631,CVE ID,True,True,True,True,"['cf[20631]', 'CVE ID']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 20631}"
56,customfield_22930,Bug Type,True,True,True,True,"['Bug Type', 'cf[22930]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 22930}"
57,customfield_20632,Next Review and Update,True,True,True,True,"['cf[20632]', 'Next Review and Update']","{'type': 'date', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:datepicker', 'customId': 20632}"
58,customfield_18430,Feature,True,True,True,True,"['cf[18430]', 'Feature']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 18430}"
59,customfield_16130,Sub-Component,True,True,True,True,"['cf[16130]', 'Sub-Component']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 16130}"
60,issuetype,Issue Type,False,True,True,True,"['issuetype', 'type']","{'type': 'issuetype', 'system': 'issuetype'}"
61,customfield_20630,CVSS Severity,True,True,True,True,"['cf[20630]', 'CVSS Severity']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 20630}"
62,customfield_22132,CVSSv3 Vector,True,True,True,True,"['cf[22132]', 'CVSSv3 Vector']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 22132}"
63,customfield_22131,Credit,True,True,True,True,"['cf[22131]', 'Credit']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 22131}"
64,customfield_22130,Vulnerability Source (labels),True,True,True,True,"['cf[22130]', 'Vulnerability Source (labels)']","{'type': 'array', 'items': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:labels', 'customId': 22130}"
65,customfield_16930,Hypothesis,True,True,True,True,"['cf[16930]', 'Hypothesis']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 16930}"
66,project,Project,False,False,True,True,['project'],"{'type': 'project', 'system': 'project'}"
67,customfield_16933,Result,True,True,True,True,"['cf[16933]', 'Result']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 16933}"
68,customfield_16932,Deployment Type,True,True,True,True,"['cf[16932]', 'Deployment Type']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 16932}"
69,resolutiondate,Resolved,False,False,True,True,"['resolutiondate', 'resolved']","{'type': 'datetime', 'system': 'resolutiondate'}"
70,watches,Watchers,False,False,True,False,['watchers'],"{'type': 'watches', 'system': 'watches'}"
71,customfield_17333,What's the main reason you're currently using Classic plans?,True,True,True,True,"['cf[17333]', ""What's the main reason you're currently using Classic plans?""]","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 17333}"
72,customfield_21030,Sales Blocker,True,True,True,True,"['cf[21030]', 'Sales Blocker']","{'type': 'array', 'items': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:labels', 'customId': 21030}"
73,customfield_15830,Occurrence Factor,True,True,True,True,"['cf[15830]', 'Occurrence Factor']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 15830}"
74,customfield_17335,If you have any other thoughts please share them here:,True,True,True,True,"['cf[17335]', 'If you have any other thoughts please share them here:']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 17335}"
75,customfield_17334,"What, if any, Classic plan features are missing from new plans that are essential for your work?",True,True,True,True,"['cf[17334]', 'What, if any, Classic plan features are missing from new plans that are essential for your work?']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 17334}"
76,customfield_14735,Support Rank,True,True,True,True,"['cf[14735]', 'Support Rank']","{'type': 'any', 'custom': 'com.pyxis.greenhopper.jira:gh-lexo-rank', 'customId': 14735}"
77,updated,Updated,False,False,True,True,"['updated', 'updatedDate']","{'type': 'datetime', 'system': 'updated'}"
78,customfield_20730,Partners,True,True,True,True,"['cf[20730]', 'Partners']","{'type': 'array', 'items': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:labels', 'customId': 20730}"
79,timeoriginalestimate,Original Estimate,False,False,True,False,"['originalEstimate', 'timeoriginalestimate']","{'type': 'number', 'system': 'timeoriginalestimate'}"
80,description,Description,False,True,True,True,['description'],"{'type': 'string', 'system': 'description'}"
81,customfield_14733,Global Rank,True,True,True,True,"['cf[14733]', 'Global Rank']","{'type': 'any', 'custom': 'com.pyxis.greenhopper.jira:gh-lexo-rank', 'customId': 14733}"
82,customfield_14734,JIRA Support Rank,True,True,True,True,"['cf[14734]', 'JIRA Support Rank']","{'type': 'any', 'custom': 'com.pyxis.greenhopper.jira:gh-lexo-rank', 'customId': 14734}"
83,customfield_14731,Rank,True,True,True,True,"['cf[14731]', 'Rank']","{'type': 'any', 'custom': 'com.pyxis.greenhopper.jira:gh-lexo-rank', 'customId': 14731}"
84,timetracking,Time Tracking,False,True,False,True,[],"{'type': 'timetracking', 'system': 'timetracking'}"
85,customfield_14732,Backlog Order,True,True,True,True,"['Backlog Order', 'cf[14732]']","{'type': 'any', 'custom': 'com.pyxis.greenhopper.jira:gh-lexo-rank', 'customId': 14732}"
86,customfield_23530,Partial Delivery Impact,True,True,True,True,"['cf[23530]', 'Partial Delivery Impact']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 23530}"
87,summary,Summary,False,True,True,True,['summary'],"{'type': 'string', 'system': 'summary'}"
88,customfield_19730,External issue ID,True,True,True,True,"['cf[19730]', 'External issue ID']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 19730}"
89,customfield_17432,Health Monitor,True,True,True,True,"['cf[17432]', 'Health Monitor']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 17432}"
90,customfield_17431,Team,True,True,True,True,"['cf[17431]', 'Team']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 17431}"
91,customfield_21130,Team,True,True,True,True,"['cf[21130]', 'Team']","{'type': 'array', 'items': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker', 'customId': 21130}"
92,customfield_10480,Affects Clover-for-Eclipse,True,True,True,True,"['Affects Clover-for-Eclipse', 'cf[10480]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 10480}"
93,customfield_13630,Designer,True,True,True,True,"['cf[13630]', 'Designer']","{'type': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:userpicker', 'customId': 13630}"
94,customfield_11331,Redmine ID,True,True,True,True,"['cf[11331]', 'Redmine ID']","{'type': 'number', 'custom': 'com.atlassian.jira.plugins.jira-importers-plugin:bug-importid', 'customId': 11331}"
95,customfield_17433,Play,True,True,True,True,"['cf[17433]', 'Play']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 17433}"
96,customfield_15932,When is this event fired?,True,True,True,True,"['cf[15932]', 'When is this event fired?']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 15932}"
97,customfield_15930,Implemented in HipChat Clients,True,True,True,True,"['cf[15930]', 'Implemented in HipChat Clients']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 15930}"
98,customfield_15931,Questions you want to answer,True,True,True,True,"['cf[15931]', 'Questions you want to answer']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 15931}"
