,id,name,custom,orderable,navigable,searchable,clauseNames,schema
35,customfield_12312339,Bugzilla - List of usernames,True,True,True,True,"['Bugzilla - List of usernames', 'cf[12312339]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12312339}"
36,assignee,Assignee,False,True,True,True,['assignee'],"{'type': 'user', 'system': 'assignee'}"
37,customfield_12312337,Bugzilla - PMC Name,True,True,True,True,"['Bugzilla - PMC Name', 'cf[12312337]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12312337}"
38,customfield_12312338,Bugzilla - Email Notification Address,True,True,True,True,"['Bugzilla - Email Notification Address', 'cf[12312338]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12312338}"
39,customfield_12311920,issueFunction,True,True,True,True,"['cf[12311920]', 'issueFunction']","{'type': 'any', 'custom': 'com.onresolve.jira.groovy.groovyrunner:jqlFunctionsCustomFieldType', 'customId': 12311920}"
40,customfield_12312335,Blogs - Existing Blog Access Level,True,True,True,True,"['Blogs - Existing Blog Access Level', 'cf[12312335]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 12312335}"
41,customfield_12312336,Bugzilla - Project Name,True,True,True,True,"['Bugzilla - Project Name', 'cf[12312336]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12312336}"
42,components,Component/s,False,True,True,True,['component'],"{'type': 'array', 'items': 'component', 'system': 'components'}"
43,customfield_12312421,Code Review,True,True,True,True,"['cf[12312421]', 'Code Review']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:url', 'customId': 12312421}"
44,customfield_12314721,Proposed Name Derivation,True,True,True,True,"['cf[12314721]', 'Proposed Name Derivation']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12314721}"
45,customfield_12310120,Lucene Fields,True,True,True,True,"['cf[12310120]', 'Lucene Fields']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 12310120}"
46,customfield_12314720,Proper Noun,True,True,True,True,"['cf[12314720]', 'Proper Noun']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 12314720}"
47,customfield_12310921,Sprint,True,True,True,True,"['cf[12310921]', 'Sprint']","{'type': 'array', 'items': 'string', 'custom': 'com.pyxis.greenhopper.jira:gh-sprint', 'customId': 12310921}"
48,customfield_12310920,Rank (Obsolete),True,True,True,True,"['cf[12310920]', 'Rank (Obsolete)']","{'type': 'any', 'custom': 'com.pyxis.greenhopper.jira:gh-global-rank', 'customId': 12310920}"
49,subtasks,Sub-Tasks,False,False,True,False,['subtasks'],"{'type': 'array', 'items': 'issuelinks', 'system': 'subtasks'}"
50,reporter,Reporter,False,True,True,True,['reporter'],"{'type': 'user', 'system': 'reporter'}"
51,customfield_12313520,Review Patch?,True,True,True,True,"['cf[12313520]', 'Review Patch?']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 12313520}"
52,customfield_12310250,Flags,True,True,True,True,"['cf[12310250]', 'Flags']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 12310250}"
53,progress,Progress,False,False,True,False,['progress'],"{'type': 'progress', 'system': 'progress'}"
54,votes,Votes,False,False,True,False,['votes'],"{'type': 'votes', 'system': 'votes'}"
55,worklog,Log Work,False,True,False,True,[],"{'type': 'array', 'items': 'worklog', 'system': 'worklog'}"
56,archivedby,Archiver,False,True,False,True,[],"{'type': 'user', 'system': 'archivedby'}"
57,issuetype,Issue Type,False,True,True,True,"['issuetype', 'type']","{'type': 'issuetype', 'system': 'issuetype'}"
58,project,Project,False,False,True,True,['project'],"{'type': 'project', 'system': 'project'}"
59,customfield_12310060,Estimated Complexity,True,True,True,True,"['cf[12310060]', 'Estimated Complexity']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 12310060}"
60,customfield_12310180,Workaround,True,True,True,True,"['cf[12310180]', 'Workaround']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12310180}"
61,customfield_12311036,Severity,True,True,True,True,"['cf[12311036]', 'Severity']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 12311036}"
62,customfield_12314422,Start Date,True,True,True,True,"['cf[12314422]', 'Start Date']","{'type': 'date', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:datepicker', 'customId': 12314422}"
63,customfield_12311033,Status Whiteboard,True,True,True,True,"['cf[12311033]', 'Status Whiteboard']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12311033}"
64,customfield_12311034,External issue ID,True,True,True,True,"['cf[12311034]', 'External issue ID']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12311034}"
65,customfield_12314421,Language,True,True,True,True,"['cf[12314421]', 'Language']","{'type': 'array', 'items': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:labels', 'customId': 12314421}"
66,customfield_12314420,Mentor,True,True,True,True,"['cf[12314420]', 'Mentor']","{'type': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:userpicker', 'customId': 12314420}"
67,customfield_12311031,Severity,True,True,True,True,"['cf[12311031]', 'Severity']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 12311031}"
68,customfield_12311032,Priority,True,True,True,True,['cf[12311032]'],"{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 12311032}"
69,resolutiondate,Resolved,False,False,True,True,"['resolutiondate', 'resolved']","{'type': 'datetime', 'system': 'resolutiondate'}"
70,customfield_12312923,Existing GitBox Approval,True,True,True,True,"['cf[12312923]', 'Existing GitBox Approval']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 12312923}"
