,id,key,name,untranslatedName,custom,orderable,navigable,searchable,clauseNames,schema
206,customfield_19358,customfield_19358,Waiting for Support to Respond,Waiting for Support to Respond,True,True,True,True,"['cf[19358]', 'Waiting for Support to Respond']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 19358}"
207,customfield_19359,customfield_19359,Waiting for Customer Response,Waiting for Customer Response,True,True,True,True,"['cf[19359]', 'Waiting for Customer Response']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 19359}"
208,customfield_20219,customfield_20219,Time in Under Review,Time in Under Review,True,True,True,True,"['Time in Under Review', 'cf[20219]']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20219}"
209,customfield_19590,customfield_19590,Vuln Identifier,Vuln Identifier,True,True,True,True,"['Vuln Identifier[Short text]', 'cf[19590]', 'Vuln Identifier']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 19590}"
210,customfield_20217,customfield_20217,Time in New,Time in New,True,True,True,True,"['Time in New', 'cf[20217]']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20217}"
211,customfield_19591,customfield_19591,Scanner Severity,Scanner Severity,True,True,True,True,"['Scanner Severity[Dropdown]', 'cf[19591]', 'Scanner Severity']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 19591}"
212,customfield_20218,customfield_20218,Time in Ready for review,Time in Ready for review,True,True,True,True,"['cf[20218]', 'Time in Ready for review']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20218}"
213,customfield_20215,customfield_20215,Time to Approved,Time to Approved,True,True,True,True,"['cf[20215]', 'Time to Approved']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20215}"
214,customfield_20216,customfield_20216,Time to AR Approved,Time to AR Approved,True,True,True,True,"['cf[20216]', 'Time to AR Approved']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20216}"
215,customfield_20213,customfield_20213,Overall Time to AR Approved,Overall Time to AR Approved,True,True,True,True,"['Overall Time to AR Approved', 'cf[20213]']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20213}"
